DeathZip,Year,Deaths
90403,2022,7
90403,2023,4
90404,2012,3
90404,2013,8
90404,2014,2
90404,2015,9
90404,2016,4
90404,2017,4
90404,2018,10
90404,2019,4
90404,2020,10
90404,2021,16
90404,2022,11
90404,2023,19
90405,2012,5
90405,2013,2
90405,2014,2
90405,2015,3
90405,2017,4
90405,2018,1
90405,2019,4
90405,2020,11
90405,2021,9
90405,2022,11
90405,2023,7
90406,2022,1
90501,2012,1
90501,2014,3
90501,2016,4
90501,2017,2
90501,2018,2
90501,2019,2
90501,2020,5
90501,2021,11
90501,2022,6
90501,2023,5
90502,2012,2
90502,2013,4
90502,2014,4
90502,2015,2
90502,2016,5
90502,2017,1
90502,2018,4
90502,2019,7
90502,2020,10
90502,2021,14
90502,2022,20
90502,2023,10
90503,2012,4
90503,2013,2
90503,2014,2
90503,2015,7
90503,2016,4
90503,2017,9
90503,2018,9
90503,2019,6
90503,2020,20
90503,2021,14
90503,2022,16
90503,2023,16
90504,2012,2
90504,2014,1
90504,2015,2
90504,2016,1
90504,2017,3
90504,2020,2
90504,2021,2
90504,2022,5
90504,2023,7
90505,2012,2
90505,2013,7
90505,2014,2
90505,2015,3
90505,2016,3
90505,2017,2
90505,2018,7
90505,2019,6
90505,2020,4
90505,2021,8
90505,2022,7
90505,2023,1
90509,2012,1
90509,2013,3
90509,2015,3
90509,2016,1
90509,2017,6
90509,2018,3
90509,2019,7
90509,2020,2
90509,2023,2
90601,2013,3
90601,2014,3
90601,2016,1
90601,2017,1
90601,2018,4
90601,2019,3
90601,2020,8
90601,2021,5
90601,2022,3
90601,2023,1
90602,2012,1
90602,2013,3
90602,2014,2
90602,2016,4
90602,2017,1
90602,2018,9
90602,2019,5
90602,2020,13
90602,2021,12
90602,2022,12
90602,2023,10
90603,2012,1
90603,2014,3
90603,2015,2
90603,2016,1
90603,2017,3
90603,2020,2
90603,2021,3
90603,2022,4
90604,2012,1
90604,2013,1
90604,2014,1
90604,2015,2
90604,2016,2
90604,2017,2
90604,2018,1
90604,2019,1
90604,2020,5
90604,2021,2
90604,2022,7
90604,2023,7
90605,2013,4
90605,2014,4
90605,2015,6
90605,2016,3
90605,2017,5
90605,2018,7
90605,2019,6
90605,2020,6
90605,2021,6
90605,2022,8
90605,2023,5
90606,2012,1
90606,2013,2
90606,2015,1
90606,2016,3
90606,2017,1
90606,2018,3
90606,2019,1
90606,2020,11
90606,2021,4
90606,2022,4
90606,2023,4
90607,2016,1
90631,2022,2
90631,2023,1
90638,2012,2
90638,2013,1
90638,2014,1
90638,2015,3
90638,2016,1
90638,2017,3
90638,2018,2
90638,2019,3
90638,2020,7
90638,2021,6
90638,2022,1
90638,2023,2
90640,2012,3
90640,2013,5
90640,2014,6
90640,2015,4
90640,2016,3
90640,2017,4
90640,2018,15
90640,2019,11
90640,2020,8
90640,2021,18
90640,2022,14
90640,2023,4
90650,2012,8
90650,2013,6
90650,2014,6
90650,2015,7
90650,2016,3
90650,2017,10
90650,2018,14
90650,2019,13
90650,2020,16
90650,2021,19
90650,2022,26
90650,2023,14
90660,2012,4
90660,2013,2
90660,2014,3
90660,2015,1
90660,2016,2
90660,2017,5
90660,2018,3
90660,2019,4
90660,2020,11
90660,2021,12
90660,2022,10
90660,2023,5
90670,2012,1
90670,2013,1
90670,2015,2
90670,2016,2
90670,2017,1
90670,2018,3
90670,2019,5
90670,2020,6
90670,2021,7
90670,2022,8
90670,2023,4
90701,2013,1
90701,2014,1
90701,2015,1
90701,2016,1
90701,2018,3
90701,2020,1
90701,2021,3
90701,2022,5
90701,2023,4
90702,2012,1
90703,2012,2
90703,2014,1
90703,2015,2
90703,2016,1
90703,2018,3
90703,2019,1
90703,2020,5
90703,2021,4
90703,2022,2
90703,2023,3
90704,2013,1
90704,2014,2
90704,2016,2
90704,2021,2
90704,2023,3
90706,2012,3
90706,2013,4
90706,2014,2
90706,2015,3
90706,2016,6
90706,2017,9
90706,2018,7
90706,2019,8
90706,2020,11
90706,2021,17
90706,2022,8
90706,2023,15
90710,2012,2
90710,2013,5
90710,2014,2
90710,2015,3
90710,2016,6
90710,2017,8
90710,2018,2
90710,2019,6
90710,2020,6
90710,2021,11
90710,2022,8
90710,2023,8
90711,2022,1
90712,2012,1
90712,2013,5
90712,2014,5
90712,2015,5
90712,2016,6
90712,2017,5
90712,2018,6
90712,2019,4
90712,2020,10
90712,2021,4
90712,2022,16
90712,2023,5
90713,2016,1
90713,2017,2
90713,2018,1
90713,2019,2
90713,2020,3
90713,2021,6
90713,2023,2
90714,2019,1
90715,2012,1
90715,2013,1
90715,2014,3
90715,2016,1
90715,2017,1
90715,2018,1
90715,2020,2
90715,2021,2
90715,2022,6
90715,2023,3
90716,2012,1
90716,2013,1
90716,2015,3
90716,2016,3
90716,2017,1
90716,2018,3
90716,2019,1
90716,2020,5
90716,2021,3
90716,2022,1
90717,2013,2
90717,2014,2
90717,2017,2
90717,2018,2
90717,2019,3
90717,2020,1
90717,2021,7
90717,2022,5
90717,2023,5
90723,2012,2
90723,2013,1
90723,2014,1
90723,2015,3
90723,2016,2
90723,2017,2
90723,2018,4
90723,2019,7
90723,2020,7
90723,2021,7
90723,2022,5
90723,2023,4
90731,2012,6
90731,2013,5
90731,2014,7
90731,2015,9
90731,2016,1
90731,2017,12
90731,2018,11
90731,2019,13
90731,2020,22
90731,2021,29
90731,2022,34
90731,2023,16
90732,2012,5
90732,2013,2
90732,2014,1
90732,2015,5
90732,2016,3
90732,2018,2
90732,2019,5
90732,2020,2
90732,2021,5
90732,2022,8
90732,2023,5
90744,2012,3
90744,2013,3
90744,2014,5
90744,2015,3
90744,2016,2
90744,2017,4
90744,2018,5
90744,2019,10
90744,2020,12
90744,2021,18
90744,2022,17
90744,2023,10
90745,2012,2
90745,2013,1
90745,2016,3
90745,2017,4
90745,2018,4
90745,2019,2
90745,2020,7
90745,2021,2
90745,2022,11
90745,2023,6
90746,2014,2
90746,2018,1
90746,2019,4
90746,2020,3
90746,2021,2
90746,2022,6
90749,2014,1
90755,2013,1
90755,2014,3
90755,2016,2
90755,2019,5
90755,2020,1
90755,2021,6
90755,2022,1
90801,2016,1
90801,2017,1
90801,2020,2
90802,2012,7
90802,2013,8
90802,2014,4
90802,2015,5
90802,2016,7
90802,2017,4
90802,2018,12
90802,2019,11
90802,2020,18
90802,2021,29
90802,2022,30
90802,2023,15
90803,2012,4
90803,2013,2
90803,2015,4
90803,2016,1
90803,2017,2
90803,2018,4
90803,2019,8
90803,2020,5
90803,2021,8
90803,2022,8
90803,2023,6
90804,2012,2
90804,2013,4
90804,2014,7
90804,2015,7
90804,2016,13
90804,2017,10
90804,2018,8
90804,2019,5
90804,2020,13
90804,2021,19
90804,2022,13
90804,2023,10
90805,2012,7
90805,2013,3
90805,2014,6
90805,2015,6
90805,2016,3
90805,2017,7
90805,2018,4
90805,2019,10
90805,2020,14
90805,2021,23
90805,2022,20
90805,2023,19
90806,2012,8
90806,2013,6
90806,2014,3
90806,2015,4
90806,2016,9
90806,2017,14
90806,2018,12
90806,2019,9
90806,2020,29
90806,2021,26
90806,2022,28
90806,2023,23
90807,2012,2
90807,2013,2
90807,2014,2
90807,2015,2
90807,2016,1
90807,2017,2
90807,2018,2
90807,2019,5
90807,2020,6
90807,2021,5
90807,2022,7
90808,2012,2
90808,2013,4
90808,2014,1
90808,2015,2
90808,2016,2
90808,2018,3
90808,2020,2
90808,2021,5
90808,2022,7
90808,2023,4
90810,2014,4
90810,2015,4
90810,2017,2
90810,2018,4
90810,2019,2
90810,2020,10
90810,2021,11
90810,2022,14
90810,2023,8
90813,2012,7
90813,2013,4
90813,2014,9
90813,2015,16
90813,2016,12
90813,2017,11
90813,2018,16
90813,2019,12
90813,2020,32
90813,2021,47
90813,2022,45
90813,2023,41
90814,2012,1
90814,2013,1
90814,2014,3
90814,2015,4
90814,2016,4
90814,2017,3
90814,2018,1
90814,2019,2
90814,2020,3
90814,2021,2
90814,2022,6
90814,2023,6
90815,2012,1
90815,2013,2
90815,2014,3
90815,2015,1
90815,2016,2
90815,2017,2
90815,2018,4
90815,2019,3
90815,2020,6
90815,2021,10
90815,2022,7
90815,2023,5
90816,2018,1
90822,2017,1
90822,2019,1
90822,2020,1
90831,2018,1
91001,2012,2
91001,2014,1
91001,2015,1
91001,2016,2
91001,2017,4
91001,2018,2
91001,2020,2
91001,2021,5
91001,2022,2
91001,2023,4
91006,2012,2
91006,2013,2
91006,2015,1
91006,2017,1
91006,2018,2
91006,2020,3
91006,2021,5
91006,2022,2
91006,2023,2
91007,2012,4
91007,2013,1
91007,2014,2
91007,2015,2
91007,2016,10
91007,2017,3
91007,2018,2
91007,2019,5
91007,2020,3
91007,2021,12
91007,2022,6
91007,2023,2
91009,2012,1
91010,2012,3
91010,2015,2
91010,2016,1
91010,2018,1
91010,2020,3
91010,2021,2
91010,2022,3
91010,2023,2
91011,2018,1
91011,2019,2
91011,2020,2
91011,2021,2
91011,2022,2
91011,2023,1
91016,2012,2
91016,2014,1
91016,2015,1
91016,2016,1
91016,2017,3
91016,2018,3
91016,2019,4
91016,2020,7
91016,2021,7
91016,2022,5
91016,2023,5
91020,2013,1
91020,2015,3
91020,2016,1
91020,2021,4
91020,2022,2
91024,2013,1
91024,2014,1
91024,2018,1
91024,2019,1
91024,2020,1
91024,2021,4
91024,2022,1
91024,2023,1
91025,2019,1
91030,2014,1
91030,2016,1
91030,2017,1
91030,2020,2
91030,2021,2
91030,2022,2
91031,2019,1
91040,2013,2
91040,2015,2
91040,2016,2
91040,2018,1
91040,2019,3
91040,2020,7
91040,2021,7
91040,2022,7
91040,2023,4
91041,2022,1
91042,2012,3
91042,2013,2
91042,2014,1
91042,2015,2
91042,2016,5
91042,2017,2
91042,2018,5
91042,2019,1
91042,2020,3
91042,2021,9
91042,2022,8
91042,2023,2
91046,2016,1
91050,2019,1
91066,2012,1
91101,2012,2
91101,2013,1
91101,2015,3
91101,2016,5
91101,2017,3
91101,2018,3
91101,2019,3
91101,2020,6
91101,2021,4
91101,2022,9
91101,2023,2
91103,2012,1
91103,2013,1
91103,2014,1
91103,2016,1
91103,2018,2
91103,2019,5
91103,2020,7
91103,2021,3
91103,2022,4
91103,2023,3
91104,2012,4
91104,2013,1
91104,2014,1
91104,2015,2
91104,2016,3
91104,2017,1
91104,2018,2
91104,2019,1
91104,2020,6
91104,2021,5
91104,2022,5
91104,2023,4
91105,2012,3
91105,2014,5
91105,2015,2
91105,2016,2
91105,2017,2
91105,2018,4
91105,2019,4
91105,2020,8
91105,2021,11
91105,2022,4
91105,2023,12
91106,2013,1
91106,2014,1
91106,2015,2
91106,2016,2
91106,2017,1
91106,2020,3
91106,2021,5
91106,2022,5
91106,2023,3
91107,2012,2
91107,2013,1
91107,2014,1
91107,2015,2
91107,2016,3
91107,2017,4
91107,2018,3
91107,2019,3
91107,2020,8
91107,2021,9
91107,2022,8
91107,2023,6
91108,2019,1
91108,2020,1
91109,2013,1
91109,2018,2
91123,2020,1
91201,2014,1
